file,canonical,decision,reason
po_trpile08_t.tga,po_trpile08_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile09_m.tga,po_trpile09_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile09_s.tga,po_trpile09_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_trpile09_t.tga,po_trpile09_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_uwsh_12_t.tga,po_uwsh_12_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_wolverine_s.tga,po_wolverine_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_wolverine_t.tga,po_wolverine_l.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_zfldrag_go_t.tga,po_zfldrag_go_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_zfldrag_s_s.tga,po_zfldrag_s_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_zfldrag_s_t.tga,po_zfldrag_s_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
po_zshgrd02_t.tga,po_zshgrd02_h.tga,retain,"visually aligned, symmetric, or distinct frontal artwork"
